name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
ABReal_70_15_70,70,15,70,88,376,485,11,0,0,0,609,3978,9011,12719,2525,10,0,1707,23192,112291,197192,50110,5365,102,347,16807,338671,1652509,759697,79622,2794,101,3704,76729,1159768,2327491,610841,34059,38,1475,26945,324838,534176,402638,103529,12,514,10646,138479,188986,96658,20421,
ABReal_70_15_95,70,15,95,86,374,458,11,0,0,0,508,3661,8815,12565,2318,10,0,141,5966,89863,183093,48939,5182,102,36,1217,21568,306541,565991,74004,2718,12,431,7310,78653,128581,102952,24135,1,76,2020,29762,45132,23330,5249,0,3,106,2304,6991,5783,1291,
ABReal_70_20_15,70,20,15,91,378,485,11,0,0,0,560,4110,9221,12726,2525,10,0,2385,22668,103353,203575,50854,5367,102,4796,66685,504051,1602256,688531,82211,2827,2411,106416,1339360,5283183,3758079,587025,29792,476,25595,685423,10363493,11164409,1902424,190658,138,6892,175465,2963181,5697374,3462274,479822,
ABReal_70_20_70,70,20,70,88,376,485,11,0,0,0,545,3977,9011,12719,2525,10,0,1046,20951,99886,197192,50110,5365,102,186,8511,187412,1452101,660867,79622,2794,58,2144,40937,564424,1200694,521841,28408,24,923,16628,194369,284929,195593,52610,9,360,6891,84612,113338,55881,10523,
ABReal_70_20_95,70,20,95,86,374,458,11,0,0,0,355,3660,8815,12565,2318,10,0,83,2948,57882,183093,48939,5182,102,17,639,11134,142271,325796,74004,2718,9,299,4687,46930,65375,47292,13620,0,15,734,12507,23472,12780,2552,0,0,7,287,1936,2362,633,
ABReal_70_500_15,70,500,15,26,170,409,11,0,0,0,53,703,2181,6837,2086,10,0,36,739,6833,27234,12225,2842,78,8,283,5773,52739,44206,10260,710,4,151,2252,23846,39336,17917,2059,3,99,1541,16400,21376,9583,1760,0,1,290,9970,16724,6207,1002,
ABReal_70_500_70,70,500,70,19,167,409,11,0,0,0,6,146,1723,6830,2086,10,0,5,120,1328,8902,10194,2836,78,0,1,77,2886,7787,3434,551,0,0,0,2,57,567,283,0,0,0,0,0,1,4,0,0,0,0,0,0,0,
ABReal_70_500_95,70,500,95,1,76,375,11,0,0,0,0,0,10,1026,1782,10,0,0,0,0,0,2,259,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABReal_90_1_15,90,1,15,2,0,0,0,0,0,0,46,212,539,1,0,0,0,3220,3419,6340,10150,2603,0,0,53032,710609,1541187,261798,36375,3500,86,183808,3349932,21908533,90495762,18047452,101233,1567,636271,11233330,85446854,539933746,235069345,39047205,1209042,831124,26938245,376755597,2164025411,974882999,220333723,10978876,
ABReal_90_1_70,90,1,70,2,0,0,0,0,0,0,46,212,539,1,0,0,0,3214,3361,6339,10150,2603,0,0,52988,710332,1539050,259025,36375,3500,86,85776,2215475,21888691,90464217,18029148,100765,1567,76164,2573102,38140854,333665016,234858659,39032598,1208097,65543,2360766,41337414,436327796,421942885,132102646,10968464,
ABReal_90_1_95,90,1,95,2,0,0,0,0,0,0,45,201,504,1,0,0,0,3044,3192,6243,8882,2575,0,0,24756,562468,1506336,250315,34812,2966,86,24219,701367,9523867,68585822,17802769,98038,1387,18851,656620,10258331,99595336,96436293,28887868,1198246,15399,558531,9936119,107607454,110702368,39104692,4501492,
ABReal_90_5_15,90,5,15,2,0,0,0,0,0,0,46,212,539,1,0,0,0,684,3417,6340,10150,2603,0,0,3587,38472,159568,261798,36375,3500,86,7786,164596,1031478,3328028,1230384,101233,1567,12891,349047,2597542,19695070,8904073,1289621,66636,5130,259324,5701937,51727782,23911241,7329513,375100,
ABReal_90_5_70,90,5,70,2,0,0,0,0,0,0,46,212,539,1,0,0,0,671,3359,6339,10150,2603,0,0,2829,37490,156546,259025,36375,3500,86,1363,55998,806350,3219026,1204981,100765,1567,480,20326,420899,5812478,6862064,1244405,65319,274,10490,206711,2633928,3751474,2024489,281251,
ABReal_90_5_95,90,5,95,2,0,0,0,0,0,0,45,201,504,1,0,0,0,486,3190,6243,8882,2575,0,0,491,18061,119697,250315,34812,2966,86,167,6304,121678,1446572,943170,98038,1387,87,3238,56989,676014,989862,541830,53270,62,2206,40374,459892,533849,240238,42908,
ABReal_90_10_15,90,10,15,2,0,0,0,0,0,0,46,212,539,1,0,0,0,589,3415,6340,10150,2603,0,0,2373,21955,107933,261798,36375,3500,86,3547,49341,618884,1709514,735913,101233,1567,1948,81965,1115357,4869547,5080851,626900,35093,701,32197,780548,9718228,9978305,1674267,214817,
