name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
ABRandom_70_20_95,70,20,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABRandom_70_500_15,70,500,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABRandom_70_500_70,70,500,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABRandom_70_500_95,70,500,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABRandom_90_1_15,90,1,15,793,94,3027,38177,0,0,0,215,9459,143068,65836,18381,22238,0,44,1714,39955,537613,1034274,16662,1142,19334,625774,896324,120889,296106,257589,63787,7637,328726,6763034,70706218,17798234,52169,16025,2394,126597,2979485,43794393,67252873,30851754,695234,822,44929,1215073,19852632,32223246,18010697,3270644,
ABRandom_90_1_70,90,1,70,793,94,3027,38177,0,0,0,215,9459,143068,65836,18381,22238,0,37,1714,39955,537613,1034274,16662,1142,6,297,7421,120817,296106,257589,63787,1,53,1377,24024,57923,52164,16025,0,2,113,3033,9221,8990,3065,0,0,4,246,1013,1275,455,
ABRandom_90_1_95,90,1,95,0,94,3027,38177,0,0,0,0,3,197,4473,18381,22238,0,0,0,5,236,1215,2056,1142,0,0,0,5,52,105,70,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABRandom_90_5_15,90,5,15,1,0,0,3,0,0,0,0,0,138,89,0,4,0,7,0,0,7,610,18,0,25,1695,5755,72,0,6,38,9,363,8447,169998,94008,5,0,6,225,4134,50815,81347,73365,4075,3,121,2355,29341,36895,17638,3575,
ABRandom_90_5_70,90,5,70,1,0,0,3,0,0,0,0,0,138,89,0,4,0,0,0,0,7,610,18,0,0,0,0,0,0,6,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABRandom_90_5_95,90,5,95,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABRandom_90_10_15,90,10,15,0,0,0,0,0,0,0,0,0,1,5,0,0,0,7,0,0,0,1,1,0,0,43,1441,72,0,0,0,0,15,491,7946,15572,5,0,0,3,125,2387,4585,3181,905,0,1,47,1009,1923,1204,245,
ABRandom_90_10_70,90,10,70,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABRandom_90_10_95,90,10,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABRandom_90_15_15,90,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,111,9,0,0,0,0,2,82,1522,1417,5,0,0,0,6,203,547,625,88,0,0,2,71,163,123,33,
ABRandom_90_15_70,90,15,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABRandom_90_15_95,90,15,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABRandom_90_20_15,90,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,0,0,0,0,0,0,28,171,5,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,
ABRandom_90_20_70,90,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABRandom_90_20_95,90,20,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABRandom_90_500_15,90,500,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABRandom_90_500_70,90,500,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABRandom_90_500_95,90,500,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
