name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
AFReal_70_15_70,70,15,70,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,3989,40504,142318,177912,7981,0,0,2806,126833,934987,3263539,1030585,73044,463,596,28546,801518,12209832,7797775,1292275,45978,165,7954,195729,3292914,7119062,4830478,409311,58,2511,59893,970832,1846200,1272492,329377,
AFReal_70_15_95,70,15,95,18,0,0,0,0,0,0,698,3484,1690,0,0,0,0,1168,36822,141798,177912,7981,0,0,183,9329,240639,2917276,1027520,73044,463,53,2158,48504,775218,1854642,1145334,45823,14,647,14150,207768,405177,317049,90547,7,268,4955,62653,103903,68563,18621,
AFReal_70_20_15,70,20,15,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,3654,37208,142318,177912,7981,0,0,9839,121684,846507,2953129,1030585,73044,463,13039,442651,3173629,11650574,7051765,1156487,45978,3135,181070,4793918,55587838,29336100,4582009,371665,995,53465,1439354,26156232,48336448,21731644,1322196,
AFReal_70_20_70,70,20,70,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,3629,37206,142318,177912,7981,0,0,1716,91633,842938,2953110,1030585,73044,463,402,18776,511261,8687742,7023102,1156448,45978,105,5259,132490,2192023,4597788,3365471,370032,31,1617,39590,636581,1242931,845405,205684,
AFReal_70_20_95,70,20,95,18,0,0,0,0,0,0,698,3484,1690,0,0,0,0,753,31226,141798,177912,7981,0,0,120,6052,159324,2384510,1027520,73044,463,33,1493,33831,528604,1239901,911224,45823,8,355,8362,132365,272265,215824,61088,5,185,3298,39310,63701,44364,12090,
AFReal_70_500_15,70,500,15,18,0,0,0,0,0,0,362,3168,1690,0,0,0,0,1086,9216,65587,159433,7981,0,0,348,16972,217237,634930,444376,63082,463,82,4238,106048,1524224,1651191,251419,18980,19,948,27560,497393,981689,613375,83397,6,283,8297,130125,266265,195640,45891,
AFReal_70_500_70,70,500,70,18,0,0,0,0,0,0,362,3168,1690,0,0,0,0,128,6867,65587,159433,7981,0,0,20,997,30620,488399,444376,63082,463,7,295,6434,101119,254760,196306,18980,2,96,2065,33043,60594,45822,14581,0,0,4,1937,15072,13224,2793,
AFReal_70_500_95,70,500,95,18,0,0,0,0,0,0,72,3163,1690,0,0,0,0,9,464,14462,159356,7981,0,0,2,123,1991,35769,104401,62939,463,0,1,120,4323,17488,17295,4458,0,0,0,4,552,1941,871,0,0,0,0,0,3,39,
AFReal_90_1_15,90,1,15,0,0,0,0,0,0,0,38,64,0,0,0,0,0,858,3176,6039,1343,0,0,0,46987,501313,156142,202312,40458,535,0,174731,2802276,19185223,66184108,1116878,74991,1638,767731,11323119,81636236,436085899,202872249,28377940,53840,1158184,36378333,454366664,2080055019,942562773,176656361,9667393,
AFReal_90_1_70,90,1,70,0,0,0,0,0,0,0,38,64,0,0,0,0,0,858,3176,6039,1343,0,0,0,46976,501258,156142,202312,40458,535,0,119433,2798842,19181192,66178580,1116878,74991,1638,103732,3593498,54357262,435603752,202831115,28375762,53839,86126,3165446,56861031,619913338,615039812,176449717,9665706,
