id	e	k	m	t
80	3	10	54317115	31391.0
81	3	10	60593502	36255.0
82	3	10	58731873	31991.0
83	3	10	41657084	24809.0
84	3	10	15264913	9362.0
85	3	10	43482491	25562.0
86	3	10	40747493	23870.0
87	3	10	45592265	26828.0
88	3	10	45093394	27012.0
89	3	10	81933286	46360.0
90	3	10	45710174	26252.0
91	3	10	39088059	23767.0
92	3	10	45239133	26865.0
93	3	10	39084871	20359.0
94	3	10	46126877	26611.0
95	3	10	19667946	11973.0
96	3	10	43347290	27731.0
97	3	10	41890131	25109.0
98	3	10	46490689	27554.0
99	3	10	55696354	32803.0
0	3	11	48111346	29235.0
1	3	11	50172017	30825.0
2	3	11	45362630	28608.0
3	3	11	48142312	32183.0
4	3	11	54240727	36098.0
5	3	11	32066357	18334.0
6	3	11	52410222	33886.0
7	3	11	44220946	26765.0
8	3	11	56234466	33554.0
9	3	11	30230073	19741.0
10	3	11	72372524	44760.0
11	3	11	67874588	41956.0
12	3	11	22035402	14485.0
13	3	11	41067847	26621.0
14	3	11	57950931	36553.0
15	3	11	68631401	37257.0
16	3	11	67179269	40875.0
17	3	11	65023942	38518.0
18	3	11	59491712	35367.0
19	3	11	91351411	57109.0
20	3	11	9467469	4721.0
21	3	11	11866793	6148.0
22	3	11	34993441	22772.0
23	3	11	49259931	31956.0
24	3	11	53892595	32683.0
25	3	11	51078656	32112.0
26	3	11	32981871	20258.0
27	3	11	9358089	5794.0
28	3	11	55051578	33190.0
29	3	11	41173176	26743.0
30	3	11	52588434	32993.0
31	3	11	36639315	21433.0
32	3	11	49972273	32330.0
33	3	11	36787106	23012.0
34	3	11	50076329	31744.0
35	3	11	38207503	24200.0
36	3	11	57526118	36542.0
37	3	11	50169390	27996.0
38	3	11	79115199	49287.0
39	3	11	49335149	31600.0
40	3	11	47861714	29327.0
41	3	11	53374419	32033.0
42	3	11	90199229	47842.0
43	3	11	64408714	41053.0
44	3	11	47807124	30819.0
45	3	11	59743802	38743.0
46	3	11	53065120	32925.0
47	3	11	66478223	35311.0
48	3	11	23629358	14585.0
49	3	11	15702380	8276.0
50	3	11	82122879	43606.0
51	3	11	27965423	16510.0
52	3	11	79204058	41728.0
53	3	11	36004200	22167.0
54	3	11	43828355	25507.0
55	3	11	113117044	68281.0
56	3	11	50662939	32849.0
57	3	11	53140287	32340.0
58	3	11	46324240	25619.0
59	3	11	49291717	29196.0
60	3	11	48652199	28906.0
61	3	11	57372854	35530.0
62	3	11	51345740	31547.0
63	3	11	57786692	33292.0
64	3	11	74965289	45448.0
65	3	11	75065222	42336.0
66	3	11	51756100	31221.0
67	3	11	58328931	33131.0
68	3	11	73578506	41882.0
69	3	11	72397448	43857.0
70	3	11	55367572	35218.0
71	3	11	44372515	27876.0
72	3	11	49207858	30603.0
73	3	11	62650269	35132.0
74	3	11	41881467	28543.0
75	3	11	16691549	12341.0
76	3	11	51672788	34588.0
77	3	11	37679197	25379.0
78	3	11	45599210	30330.0
79	3	11	49104906	33710.0
80	3	11	64374806	41233.0
81	3	11	69616958	46446.0
82	3	11	72633473	43446.0
83	3	11	48228752	31250.0
84	3	11	17333245	11191.0
